PCON21CD,PCON21NM,SAM_WPC_DEC_2020_UK_AREAEHECT,SAM_PCON_DEC_2021_UK_AREAEHECT,EOTR_Diff,Reason,SAM_WPC_DEC_2020_UK_AREACHECT,SAM_PCON_DEC_2021_UK_AREACHECT,CtoC_Diff,Reason,SAM_WPC_DEC_2020_UK_AREAIHECT,SAM_PCON_DEC_2021_UK_AREAIHECT,ILW_Diff,Reason,SAM_WPC_DEC_2020_UK_AREALHECT,SAM_PCON_DEC_2021_UK_AREALHECT,LC_Diff,Reason
E14000530,Aldershot,5297.82,5297.82,0,,5297.82,5297.82,0,,0,0,0,,5297.82,5297.82,0,
E14000531,Aldridge-Brownhills,4401.65,4401.65,0,,4401.65,4401.65,0,,0,0,0,,4401.65,4401.65,0,
E14000532,Altrincham and Sale West,5093.05,5093.05,0,,5093.05,5093.05,0,,0,0,0,,5093.05,5093.05,0,
E14000533,Amber Valley,12464.64,12464.64,0,,12464.64,12464.64,0,,0,0,0,,12464.64,12464.64,0,
E14000534,Arundel and South Downs,64651.28,64651.28,0,,64523.36,64523.36,0,,0,0,0,,64523.36,64523.36,0,
E14000535,Ashfield,10771.18,10771.18,0,,10771.18,10771.18,0,,0,0,0,,10771.18,10771.18,0,
E14000536,Ashford,50367.25,50367.25,0,,50367.25,50367.25,0,,0,0,0,,50367.25,50367.25,0,
E14000537,Ashton-under-Lyne,2779.21,2779.71,-0.5,,2779.21,2779.71,-0.5,,0,0,0,,2779.21,2779.71,-0.5,
E14000538,Aylesbury,18545.71,18545.71,0,,18545.71,18545.71,0,,0,0,0,,18545.71,18545.71,0,
E14000539,Banbury,46366.42,46366.42,0,,46366.42,46366.42,0,,0,0,0,,46366.42,46366.42,0,
E14000540,Barking,2170.22,2170.22,0,,2043.77,2043.77,0,,0,0,0,,2043.77,2043.77,0,
E14000541,Barnsley Central,4836.96,4836.96,0,,4836.96,4836.96,0,,0,0,0,,4836.96,4836.96,0,
E14000542,Barnsley East,8680.4,8680.4,0,,8680.4,8680.4,0,,0,0,0,,8680.4,8680.4,0,
E14000543,Barrow and Furness,39780.78,39780.82,-0.04,,28132.23,28132.27,-0.04,,0,0,0,,28132.23,28132.27,-0.04,
E14000544,Basildon and Billericay,6023.17,6023.17,0,,6023.17,6023.17,0,,0,0,0,,6023.17,6023.17,0,
E14000545,Basingstoke,5891.56,5891.56,0,,5891.56,5891.56,0,,0,0,0,,5891.56,5891.56,0,
E14000546,Bassetlaw,48042.41,48042.41,0,,47952.18,47952.18,0,,0,0,0,,47952.18,47952.18,0,
E14000547,Bath,2867.55,2867.55,0,,2867.55,2867.55,0,,0,0,0,,2867.55,2867.55,0,
E14000548,Batley and Spen,5506.03,5506.03,0,,5506.03,5506.03,0,,0,0,0,,5506.03,5506.03,0,
E14000549,Battersea,1096.88,1096.88,0,,1027.62,1027.62,0,,0,0,0,,1027.62,1027.62,0,
E14000550,Beaconsfield,17625.53,17625.53,0,,17625.53,17625.53,0,,0,0,0,,17625.53,17625.53,0,
E14000551,Beckenham,3448.42,3448.42,0,,3448.42,3448.42,0,,0,0,0,,3448.42,3448.42,0,
E14000552,Bedford,3393.92,3393.92,0,,3393.92,3393.92,0,,0,0,0,,3393.92,3393.92,0,
E14000553,Bermondsey and Old Southwark,1147.82,1147.82,0,,1043.28,1043.28,0,,0,0,0,,1043.28,1043.28,0,
E14000554,Berwick-upon-Tweed,242750.97,242752.13,-1.16,,238551.12,238553.08,-1.96,,0,0,0,,238551.12,238553.08,-1.96,
E14000555,Bethnal Green and Bow,916.85,916.85,0,,916.85,916.85,0,,0,0,0,,916.85,916.85,0,
E14000556,Beverley and Holderness,83031.05,83031.32,-0.27,,77455.52,77455.8,-0.28,,116,116.96,-0.96,,77338.56,77338.84,-0.28,
E14000557,Bexhill and Battle,53065.32,53065.32,0,,52902.61,52902.61,0,,231,231.26,-0.26,,52671.35,52671.35,0,
E14000558,Bexleyheath and Crayford,2284.95,2285.07,-0.12,,2162.52,2162.65,-0.13,,0,0,0,,2162.52,2162.65,-0.13,
E14000559,Birkenhead,2800.31,2800.31,0,,2512.11,2512.11,0,,0,0,0,,2512.11,2512.11,0,
E14000560,"Birmingham, Edgbaston",2831.72,2831.72,0,,2831.72,2831.72,0,,0,0,0,,2831.72,2831.72,0,
